,,,,,,
,,,,,,
,,,,,,
,,,,,,
Component Count:,144,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"BOOT1, ",1,SW_Push,SW_Push,XPULabs:PB_3x4MM_2P,"Push button switch, generic, two pins",
"C1, C2, ",2,NC/100nF,C,XPULabs:0402C,Unpolarized capacitor,
"C3, C10, C13, C14, C17, C24, C26, C28, C31, C32, ",10,1uF,C,XPULabs:0402C,Unpolarized capacitor,
"C4, C5, C7, C9, C12, C18, C19, C21, C22, ",9,10uF,C,XPULabs:0402C,Unpolarized capacitor,
"C6, C11, C15, C16, C20, C23, C25, C27, C29, ",9,100nF,C,XPULabs:0402C,Unpolarized capacitor,
"C8, ",1,2.2nF,C,XPULabs:0402C,Unpolarized capacitor,
"C30, ",1,22pF,C,XPULabs:0402C,Unpolarized capacitor,
"D1, D2, D4, ",3,RED,LED_1,XPULabs:0402D,Light emitting diode,
"D3, ",1,D,D,XPULabs:SOD-123,Diode,
"DOWN1, ",1,SW_Push,SW_Push,XPULabs:PB_3X4MM_2P_HS,"Push button switch, generic, two pins",
"EN1, ",1,SW_Push,SW_Push,XPULabs:PB_3x4MM_2P,"Push button switch, generic, two pins",
"H1, H2, H3, H4, ",4,MountingHole_Pad,MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_Pad_Via,Mounting Hole with connection,
"J1, ",1,USB_B_Micro,USB_B_Micro,XPULabs:MICRO-USB5+4P-SMD-0.65-B,,
"J2, ",1,Conn-PH_SB_1x02,Conn-PH_SB_1x02,XPULabs:S2B-PH,,
"J3, ",1,Conn-Header_1x06,Conn-Header_1x06,XPULabs:1X06,,
"J4, ",1,FH34SRJ-24S-0.5SH,FH34SRJ-24S-0.5SH,AnalogLamb:Conn-FPC-HRS-FH34SRJ-24S-0.5SH,CONN FFC FPC 24POS 0.50MM R/A,
"J5, J6, ",2,Conn-Header_1x12,Conn-Header_1x12,XPULabs:LCD_1.3_SPI,,
"J7, ",1,Conn-MicroSD-Molex-0473092651,Conn-MicroSD-Molex-0473092651,AnalogLamb:Conn-MicroSD-Molex-0473092651,,
"L1, ",1,2.2uH,L,Inductor_SMD:L_1008_2520Metric,Inductor,
"MENU1, ",1,SW_Push,SW_Push,XPULabs:PB_3X4MM_2P_HS,"Push button switch, generic, two pins",
"PLAY1, ",1,SW_Push,SW_Push,XPULabs:PB_3X4MM_2P_HS,"Push button switch, generic, two pins",
"Q1, Q2, Q3, ",3,AO3415,AO3401A,XPULabs:SOT23-3,"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23",
"Q4, Q5, ",2,MMBT3904,MMBT3904,XPULabs:SOT23-3,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",
"R1, R73, ",2,27K,R,XPULabs:0402R,Resistor,
"R2, R3, R8, R9, R11, R14, R25, R26, R27, R28, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R50, R52, R53, R54, R59, R60, R66, ",33,0R,R,XPULabs:0402R,Resistor,
"R4, R76, R77, ",3,15K,R,XPULabs:0402R,Resistor,
"R5, R15, R16, R18, ",4,1.5K,R,XPULabs:0402R,Resistor,
"R6, R17, R22, R24, R29, R30, R49, R56, R57, R58, R61, R63, R74, R75, ",14,10K,R,XPULabs:0402R,Resistor,
"R7, ",1,3.3K,R,XPULabs:0402R,Resistor,
"R10, ",1,1.3K,R,XPULabs:0402R,Resistor,
"R12, R19, R20, R47, R48, ",5,1M,R,XPULabs:0402R,Resistor,
"R13, ",1,1.6K,R,XPULabs:0402R,Resistor,
"R21, R67, ",2,10R,R,XPULabs:0603,Resistor,
"R23, R64, R65, ",3,NC/0R,R,XPULabs:0402R,Resistor,
"R51, R55, ",2,2.2K,R,XPULabs:0402R,Resistor,
"R62, R70, ",2,NC/10K,R,XPULabs:0402R,Resistor,
"R68, ",1,470R,R,XPULabs:0402R,Resistor,
"R69, ",1,100R,R,XPULabs:0402R,Resistor,
"R72, ",1,120K,R,XPULabs:0402R,Resistor,
"SW1, ",1,SW_DIP_x02,SW_DIP_x02,XPULabs:CHS-02B,"2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",
"U1, ",1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,XPULabs:ESP32-S3-WROOM-1,,
"U2, ",1,ME4054B-N,ME4054B-N,XPULabs:SOT23-5,IC Single Li Bat Charger SOT23-5,
"U3, ",1,CW2015,CW2015,Package_DFN_QFN:TDFN-8-1EP_3x2mm_P0.5mm_EP1.4x1.4mm,IC Fuel Gauge  with Low SOC Alert TDFN8,
"U4, ",1,ME6211C28M5G-N,ME6211C,XPULabs:SOT23-5,IC High Speed LDO 500mA SOT23-5,
"U5, ",1,ME6211C15M5G-N,ME6211C,XPULabs:SOT23-5,IC High Speed LDO 500mA SOT23-5,
"U6, ",1,MSM261S4030H0R,MSM261S4030H0R,AnalogLamb:MSM261S4030H0R,IC I2S MEMS Micphone 3x4MM,
"U7, ",1,QMA7981,QMA7981,XPULabs:LGA-12_2x2mm_P0.5mm,SEN 3-Axis Accelerometer LGA12,
"U8, ",1,APS2410,APS2410,XPULabs:SOT23-5,DC-DC Buck 1A ADJ,
"UP1, ",1,SW_Push,SW_Push,XPULabs:PB_3X4MM_2P_HS,"Push button switch, generic, two pins",
